row_index,image_id,true_label,true_class,VGG_pred,VGG_conf,VGG_ptrue,VGG_error,ResNet_pred,ResNet_conf,ResNet_ptrue,ResNet_error,EffNet_pred,EffNet_conf,EffNet_ptrue,EffNet_error,n_wrong,category,wrong_set,mean_conf,min_conf,conf_range,mean_ptrue,min_ptrue,mean_conf_wrong_models,mean_ptrue_wrong_models,n_unique_preds,agreement_level,vote_entropy_bits,jsd_bits,unanimous_outcome
38,38,0,glioma,1,0.62939453125,0.0,1,2,0.99609375,1.3113021850585938e-06,1,2,0.38037109375,0.2308349609375,1,3,shared_failure,VGG+ResNet+EffNet,0.6686197916666666,0.38037109375,0.61572265625,0.07694542407989502,0.0,0.6686197916666666,0.07694542407989502,2,split_2_1,0.9182958340544896,0.4440208875404772,disagreement
39,39,0,glioma,0,0.990234375,0.990234375,0,0,1.0,1.0,0,0,0.9970703125,0.9970703125,0,0,correct_all,none,0.9957682291666666,0.990234375,0.009765625,0.9957682291666666,0.990234375,,,1,unanimous,-0.0,0.003490573449288048,unanimous_correct
40,40,0,glioma,0,0.97705078125,0.97705078125,0,0,0.9990234375,0.9990234375,0,0,0.97802734375,0.97802734375,0,0,correct_all,none,0.9847005208333334,0.97705078125,0.02197265625,0.9847005208333334,0.97705078125,,,1,unanimous,-0.0,0.007571427686484958,unanimous_correct
41,41,0,glioma,0,1.0,1.0,0,0,0.9990234375,0.9990234375,0,0,0.9970703125,0.9970703125,0,0,correct_all,none,0.9986979166666666,0.9970703125,0.0029296875,0.9986979166666666,0.9970703125,,,1,unanimous,-0.0,0.0009911953980194475,unanimous_correct
42,42,0,glioma,0,0.998046875,0.998046875,0,0,1.0,1.0,0,0,0.9990234375,0.9990234375,0,0,correct_all,none,0.9990234375,0.998046875,0.001953125,0.9990234375,0.998046875,,,1,unanimous,-0.0,0.0012166476523477535,unanimous_correct
43,43,0,glioma,0,0.8310546875,0.8310546875,0,0,0.97607421875,0.97607421875,0,1,0.80908203125,0.19091796875,1,1,one_model_failure,EffNet,0.8720703125,0.80908203125,0.1669921875,0.666015625,0.19091796875,0.80908203125,0.19091796875,2,split_2_1,0.9182958340544896,0.4120239439726763,disagreement
44,44,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9912109375,0.9912109375,0,0,correct_all,none,0.9970703125,0.9912109375,0.0087890625,0.9970703125,0.9912109375,,,1,unanimous,-0.0,0.004442868516445413,unanimous_correct
45,45,0,glioma,0,0.9462890625,0.9462890625,0,0,0.98193359375,0.98193359375,0,0,0.8662109375,0.8662109375,0,0,correct_all,none,0.9314778645833334,0.8662109375,0.11572265625,0.9314778645833334,0.8662109375,,,1,unanimous,-0.0,0.0266887999726107,unanimous_correct
46,46,0,glioma,1,1.0,0.0001442432403564453,1,1,0.8359375,0.036224365234375,1,1,0.63232421875,0.165771484375,1,3,shared_failure,VGG+ResNet+EffNet,0.82275390625,0.63232421875,0.36767578125,0.06738003094991048,0.0001442432403564453,0.82275390625,0.06738003094991048,1,unanimous,-0.0,0.14950084626149318,unanimous_wrong
47,47,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,4.0998831747533196e-05,unanimous_correct
48,48,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.98095703125,0.98095703125,0,0,correct_all,none,0.99365234375,0.98095703125,0.01904296875,0.99365234375,0.98095703125,,,1,unanimous,-0.0,0.010182095817812167,unanimous_correct
49,49,0,glioma,2,0.6708984375,0.1214599609375,1,2,0.78125,0.2080078125,1,2,0.5947265625,0.28564453125,1,3,shared_failure,VGG+ResNet+EffNet,0.6822916666666666,0.5947265625,0.1865234375,0.20503743489583334,0.1214599609375,0.6822916666666666,0.20503743489583334,1,unanimous,-0.0,0.07659834167176283,unanimous_wrong
50,50,0,glioma,0,0.98291015625,0.98291015625,0,0,0.56591796875,0.56591796875,0,2,0.88037109375,0.03179931640625,1,1,one_model_failure,EffNet,0.8097330729166666,0.56591796875,0.4169921875,0.5268758138020834,0.03179931640625,0.88037109375,0.03179931640625,2,split_2_1,0.9182958340544896,0.6102020974353738,disagreement
51,51,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.00012472106145825466,unanimous_correct
52,52,0,glioma,0,0.9873046875,0.9873046875,0,0,1.0,1.0,0,0,0.9951171875,0.9951171875,0,0,correct_all,none,0.994140625,0.9873046875,0.0126953125,0.994140625,0.9873046875,,,1,unanimous,-0.0,0.0038407502333130186,unanimous_correct
53,53,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9404296875,0.9404296875,0,0,correct_all,none,0.9801432291666666,0.9404296875,0.0595703125,0.9801432291666666,0.9404296875,,,1,unanimous,-0.0,0.031404027180382946,unanimous_correct
54,54,0,glioma,0,0.9990234375,0.9990234375,0,0,1.0,1.0,0,0,0.9921875,0.9921875,0,0,correct_all,none,0.9970703125,0.9921875,0.0078125,0.9970703125,0.9921875,,,1,unanimous,-0.0,0.0026748797668221073,unanimous_correct
55,55,0,glioma,0,0.9912109375,0.9912109375,0,0,1.0,1.0,0,1,0.5263671875,0.47021484375,1,1,one_model_failure,EffNet,0.8391927083333334,0.5263671875,0.4736328125,0.8204752604166666,0.47021484375,0.5263671875,0.47021484375,2,split_2_1,0.9182958340544896,0.32153397841512643,disagreement
56,56,0,glioma,1,0.9677734375,0.0007910728454589844,1,1,0.97900390625,0.0169677734375,1,1,0.8642578125,0.07177734375,1,3,shared_failure,VGG+ResNet+EffNet,0.93701171875,0.8642578125,0.11474609375,0.029845396677652996,0.0007910728454589844,0.93701171875,0.029845396677652996,1,unanimous,-0.0,0.046986755711344697,unanimous_wrong
57,57,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.896484375,0.896484375,0,0,correct_all,none,0.9654947916666666,0.896484375,0.103515625,0.9654947916666666,0.896484375,,,1,unanimous,-0.0,0.05615945891367066,unanimous_correct
58,58,0,glioma,1,0.9990234375,0.0,1,1,0.994140625,0.0009031295776367188,1,1,0.7392578125,0.005100250244140625,1,3,shared_failure,VGG+ResNet+EffNet,0.9108072916666666,0.7392578125,0.259765625,0.0020011266072591147,0.0,0.9108072916666666,0.0020011266072591147,1,unanimous,-0.0,0.14607284272984378,unanimous_wrong
59,59,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.0002324222264369893,unanimous_correct
60,60,0,glioma,0,0.8974609375,0.8974609375,0,0,1.0,1.0,0,1,0.970703125,0.0285186767578125,1,1,one_model_failure,EffNet,0.9560546875,0.8974609375,0.1025390625,0.6419932047526041,0.0285186767578125,0.970703125,0.0285186767578125,2,split_2_1,0.9182958340544896,0.7182755005023621,disagreement
61,61,0,glioma,0,0.9970703125,0.9970703125,0,0,0.998046875,0.998046875,0,0,0.9990234375,0.9990234375,0,0,correct_all,none,0.998046875,0.9970703125,0.001953125,0.998046875,0.9970703125,,,1,unanimous,-0.0,0.0002398054134332174,unanimous_correct
62,62,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.998046875,0.998046875,0,0,correct_all,none,0.9993489583333334,0.998046875,0.001953125,0.9993489583333334,0.998046875,,,1,unanimous,-0.0,0.0007965687227512435,unanimous_correct
63,63,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,3.43137283256157e-05,unanimous_correct
64,64,0,glioma,0,0.9912109375,0.9912109375,0,0,0.998046875,0.998046875,0,0,0.77880859375,0.77880859375,0,0,correct_all,none,0.9226888020833334,0.77880859375,0.21923828125,0.9226888020833334,0.77880859375,,,1,unanimous,-0.0,0.10818474696384878,unanimous_correct
65,65,0,glioma,0,0.6171875,0.6171875,0,0,0.994140625,0.994140625,0,0,0.81201171875,0.81201171875,0,0,correct_all,none,0.8077799479166666,0.6171875,0.376953125,0.8077799479166666,0.6171875,,,1,unanimous,-0.0,0.13658750552679177,unanimous_correct
66,66,0,glioma,2,0.67041015625,0.0,1,2,0.97802734375,0.00025153160095214844,1,1,0.437255859375,0.07647705078125,1,3,shared_failure,VGG+ResNet+EffNet,0.6952311197916666,0.437255859375,0.540771484375,0.025576194127400715,0.0,0.6952311197916666,0.025576194127400715,2,split_2_1,0.9182958340544896,0.49822347171331827,disagreement
67,67,0,glioma,0,0.9990234375,0.9990234375,0,0,0.97900390625,0.97900390625,0,0,0.927734375,0.927734375,0,0,correct_all,none,0.9685872395833334,0.927734375,0.0712890625,0.9685872395833334,0.927734375,,,1,unanimous,-0.0,0.023796505376133592,unanimous_correct
68,68,0,glioma,1,0.87890625,0.0,1,3,0.9453125,1.5556812286376953e-05,1,1,0.95166015625,0.00016689300537109375,1,3,shared_failure,VGG+ResNet+EffNet,0.92529296875,0.87890625,0.07275390625,6.081660588582357e-05,0.0,0.92529296875,6.081660588582357e-05,2,split_2_1,0.9182958340544896,0.6158135338996713,disagreement
69,69,0,glioma,0,0.94140625,0.94140625,0,3,0.6748046875,0.32177734375,1,0,0.82763671875,0.82763671875,0,1,one_model_failure,ResNet,0.8146158854166666,0.6748046875,0.2666015625,0.6969401041666666,0.32177734375,0.6748046875,0.32177734375,2,split_2_1,0.9182958340544896,0.32193671459965045,disagreement
70,70,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.994140625,0.994140625,0,0,correct_all,none,0.998046875,0.994140625,0.005859375,0.998046875,0.994140625,,,1,unanimous,-0.0,0.0029654975320504255,unanimous_correct
71,71,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,1.6955576210559277e-05,unanimous_correct
72,72,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.00011062119669344949,unanimous_correct
73,73,0,glioma,0,0.9990234375,0.9990234375,0,0,1.0,1.0,0,0,0.8671875,0.8671875,0,0,correct_all,none,0.9554036458333334,0.8671875,0.1328125,0.9554036458333334,0.8671875,,,1,unanimous,-0.0,0.0709820109657325,unanimous_correct
74,74,0,glioma,2,0.7431640625,0.0241241455078125,1,2,0.7421875,0.1383056640625,1,0,0.97412109375,0.97412109375,0,2,two_model_failures,VGG+ResNet,0.81982421875,0.7421875,0.23193359375,0.3788503011067708,0.0241241455078125,0.74267578125,0.08121490478515625,2,split_2_1,0.9182958340544896,0.6670763033454857,disagreement
75,75,0,glioma,2,0.5263671875,0.337890625,1,0,0.9892578125,0.9892578125,0,3,0.74951171875,0.09368896484375,1,2,two_model_failures,VGG+EffNet,0.7550455729166666,0.5263671875,0.462890625,0.4736124674479167,0.09368896484375,0.637939453125,0.215789794921875,3,split_1_1_1,1.584962500721156,0.8460629349013141,disagreement
76,76,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.0001450810795892586,unanimous_correct
77,77,0,glioma,0,0.91259765625,0.91259765625,0,0,0.92822265625,0.92822265625,0,0,0.42138671875,0.42138671875,0,0,correct_all,none,0.7540690104166666,0.42138671875,0.5068359375,0.7540690104166666,0.42138671875,,,1,unanimous,-0.0,0.22960411962946403,unanimous_correct
78,78,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9892578125,0.9892578125,0,0,correct_all,none,0.9964192708333334,0.9892578125,0.0107421875,0.9964192708333334,0.9892578125,,,1,unanimous,-0.0,0.00537212296280748,unanimous_correct
79,79,0,glioma,1,0.7802734375,0.1817626953125,1,0,0.59375,0.59375,0,0,0.77392578125,0.77392578125,0,1,one_model_failure,VGG,0.7159830729166666,0.59375,0.1865234375,0.5164794921875,0.1817626953125,0.7802734375,0.1817626953125,2,split_2_1,0.9182958340544896,0.19295918968634995,disagreement
80,80,0,glioma,1,0.9970703125,0.003040313720703125,1,1,1.0,7.748603820800781e-07,1,1,0.77880859375,2.8014183044433594e-05,1,3,shared_failure,VGG+ResNet+EffNet,0.92529296875,0.77880859375,0.22119140625,0.0010230342547098796,7.748603820800781e-07,0.92529296875,0.0010230342547098796,1,unanimous,-0.0,0.1263130422457816,unanimous_wrong
81,81,0,glioma,0,0.998046875,0.998046875,0,0,0.9580078125,0.9580078125,0,0,0.84716796875,0.84716796875,0,0,correct_all,none,0.9344075520833334,0.84716796875,0.15087890625,0.9344075520833334,0.84716796875,,,1,unanimous,-0.0,0.055344343602707735,unanimous_correct
82,82,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.00015213855619324295,unanimous_correct
83,83,0,glioma,0,0.9990234375,0.9990234375,0,0,1.0,1.0,0,0,0.98388671875,0.98388671875,0,0,correct_all,none,0.9943033854166666,0.98388671875,0.01611328125,0.9943033854166666,0.98388671875,,,1,unanimous,-0.0,0.007292795264895777,unanimous_correct
84,84,0,glioma,1,0.85205078125,0.1473388671875,1,0,0.998046875,0.998046875,0,0,0.93603515625,0.93603515625,0,1,one_model_failure,VGG,0.9287109375,0.85205078125,0.14599609375,0.6938069661458334,0.1473388671875,0.85205078125,0.1473388671875,2,split_2_1,0.9182958340544896,0.5660700832864498,disagreement
85,85,0,glioma,0,0.9970703125,0.9970703125,0,0,0.9990234375,0.9990234375,0,0,0.99609375,0.99609375,0,0,correct_all,none,0.9973958333333334,0.99609375,0.0029296875,0.9973958333333334,0.99609375,,,1,unanimous,-0.0,0.0016090940553138387,unanimous_correct
86,86,0,glioma,0,0.93359375,0.93359375,0,0,0.994140625,0.994140625,0,0,0.95703125,0.95703125,0,0,correct_all,none,0.9615885416666666,0.93359375,0.060546875,0.9615885416666666,0.93359375,,,1,unanimous,-0.0,0.015623109461806645,unanimous_correct
87,87,0,glioma,1,0.7802734375,0.1817626953125,1,0,0.59375,0.59375,0,0,0.77392578125,0.77392578125,0,1,one_model_failure,VGG,0.7159830729166666,0.59375,0.1865234375,0.5164794921875,0.1817626953125,0.7802734375,0.1817626953125,2,split_2_1,0.9182958340544896,0.19295918968634995,disagreement
88,88,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.998046875,0.998046875,0,0,correct_all,none,0.9993489583333334,0.998046875,0.001953125,0.9993489583333334,0.998046875,,,1,unanimous,-0.0,0.001003314097804217,unanimous_correct
89,89,0,glioma,0,0.88671875,0.88671875,0,0,0.9990234375,0.9990234375,0,0,0.98193359375,0.98193359375,0,0,correct_all,none,0.9558919270833334,0.88671875,0.1123046875,0.9558919270833334,0.88671875,,,1,unanimous,-0.0,0.04409626590066765,unanimous_correct
90,90,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9990234375,0.9990234375,0,0,correct_all,none,0.9996744791666666,0.9990234375,0.0009765625,0.9996744791666666,0.9990234375,,,1,unanimous,-0.0,0.0005713731498008948,unanimous_correct
91,91,0,glioma,0,0.78173828125,0.78173828125,0,0,0.93115234375,0.93115234375,0,1,0.63037109375,0.369873046875,1,1,one_model_failure,EffNet,0.7810872395833334,0.63037109375,0.30078125,0.6942545572916666,0.369873046875,0.63037109375,0.369873046875,2,split_2_1,0.9182958340544896,0.19852737819877797,disagreement
92,92,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,1.0,1.0,0,0,correct_all,none,1.0,1.0,0.0,1.0,1.0,,,1,unanimous,-0.0,0.0001914518505430399,unanimous_correct
93,93,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.9931640625,0.9931640625,0,0,correct_all,none,0.9977213541666666,0.9931640625,0.0068359375,0.9977213541666666,0.9931640625,,,1,unanimous,-0.0,0.003291515242104477,unanimous_correct
94,94,0,glioma,0,0.9697265625,0.9697265625,0,0,0.998046875,0.998046875,0,0,0.86474609375,0.86474609375,0,0,correct_all,none,0.9441731770833334,0.86474609375,0.13330078125,0.9441731770833334,0.86474609375,,,1,unanimous,-0.0,0.04872095296584161,unanimous_correct
95,95,0,glioma,0,1.0,1.0,0,0,1.0,1.0,0,0,0.998046875,0.998046875,0,0,correct_all,none,0.9993489583333334,0.998046875,0.001953125,0.9993489583333334,0.998046875,,,1,unanimous,-0.0,0.001208995667422724,unanimous_correct
